"Label (Grouping)","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Car, truck, or van -- drove alone!!Estimate","Westchester County, New York!!Car, truck, or van -- drove alone!!Margin of Error","Westchester County, New York!!Car, truck, or van -- carpooled!!Estimate","Westchester County, New York!!Car, truck, or van -- carpooled!!Margin of Error","Westchester County, New York!!Public transportation (excluding taxicab)!!Estimate","Westchester County, New York!!Public transportation (excluding taxicab)!!Margin of Error","Westchester County, New York!!Worked from home!!Estimate","Westchester County, New York!!Worked from home!!Margin of Error"
"Workers 16 years and over","472,048","±11,869","286,441","±11,340","40,010","±4,865","33,654","±3,981","75,450","±5,318"
"    AGE","","","","","","","","","",""
"        16 to 19 years","3.0%","±0.4","2.1%","±0.5","6.4%","±2.5","3.8%","±1.8","0.6%","±0.4"
"        20 to 24 years","7.6%","±0.6","6.4%","±0.9","8.8%","±3.0","12.7%","±4.9","5.1%","±1.2"
"        25 to 44 years","39.9%","±1.2","40.0%","±1.7","43.8%","±5.4","40.7%","±5.7","37.4%","±3.0"
"        45 to 54 years","20.4%","±0.8","21.0%","±1.3","21.6%","±4.2","14.0%","±4.0","24.2%","±2.7"
"        55 to 59 years","10.9%","±0.9","11.3%","±1.2","9.0%","±2.5","11.0%","±3.9","10.9%","±2.0"
"        60 years and over","18.1%","±1.0","19.2%","±1.4","10.5%","±2.8","17.7%","±4.5","21.9%","±2.7"
"        Median age (years)","44.7","±0.7","45.8","±1.0","41.1","±3.5","40.4","±3.3","48.1","±1.8"
"    SEX","","","","","","","","","",""
"        Male","50.7%","±1.3","52.6%","±1.7","48.9%","±4.4","49.3%","±5.6","48.6%","±3.2"
"        Female","49.3%","±1.3","47.4%","±1.7","51.1%","±4.4","50.7%","±5.6","51.4%","±3.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N"
"            White","51.6%","±1.4","55.5%","±2.0","37.4%","±6.6","22.8%","±4.5","64.8%","±3.7"
"            Black or African American","13.0%","±1.1","11.8%","±1.4","13.7%","±4.4","24.0%","±4.3","8.5%","±2.1"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N"
"            Asian","6.6%","±0.5","6.0%","±0.6","6.7%","±2.2","7.1%","±3.1","8.1%","±1.6"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N"
"            Some other race","14.2%","±1.1","12.5%","±1.5","23.2%","±4.6","25.9%","±5.0","7.3%","±3.4"
"        Two or more races","13.3%","±1.1","13.0%","±1.3","16.0%","±4.2","16.9%","±4.5","11.1%","±2.8"
"        Hispanic or Latino origin (of any race)","28.9%","±1.0","26.7%","±1.6","41.6%","±5.1","48.7%","±5.6","17.6%","±4.2"
"        White alone, not Hispanic or Latino origin","48.2%","±1.3","52.5%","±1.9","32.4%","±5.6","18.7%","±3.5","62.7%","±3.8"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","",""
"        Native","68.0%","±1.5","70.2%","±1.6","54.9%","±5.2","55.8%","±5.7","74.1%","±3.9"
"        Foreign born","32.0%","±1.5","29.8%","±1.6","45.1%","±5.2","44.2%","±5.7","25.9%","±3.9"
"            Naturalized U.S. citizen","18.3%","±1.3","18.0%","±1.3","21.7%","±4.1","20.9%","±5.1","17.6%","±3.4"
"            Not a U.S. citizen","13.8%","±1.1","11.8%","±1.3","23.4%","±4.6","23.4%","±4.7","8.3%","±2.2"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","",""
"        Speak language other than English","36.8%","±1.4","34.6%","±1.8","50.2%","±6.1","50.9%","±5.6","27.4%","±4.1"
"            Speak English ""very well""","23.0%","±1.2","22.8%","±1.5","23.7%","±5.0","25.8%","±5.2","21.2%","±3.2"
"            Speak English less than ""very well""","13.7%","±1.2","11.8%","±1.3","26.5%","±4.8","25.2%","±4.9","6.3%","±2.7"
"EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","","","",""
